Marcha,Autor,Año,Duración (seg),Duración (min),Dedicatoria,Localidad,Corneta,DR,LS,MS,XS,JS,VS,SS,Total_M
La Virgen en sus Lágrimas,Manuel López Farfán,1926,297,0:04:57,Virgen de las Lágrimas,Sevilla,0,0,0,0,0,0,0,0,0
Lágrimas de Amargura,Cristóbal López Gándara,2013,300,0:05:00,Hdad. De la Caida,Úbeda,0,0,1,2,0,1,0,1,5
Llena eres de Gracia,Francisco Javier Alonso Delgado,2004,260,0:04:20,Virgen de Gracia y Amparo,Sevilla,0,0,0,0,0,0,0,0,0
Llora la Soledad,Justo Manuel  Jiménez Fábregas,2017,257,0:04:17,Hdad. Del Santo Entierro,Cádiz,0,0,0,0,0,0,0,2,2
Macarena,Abel Moreno,1988,245,0:04:05,Esperanza Macarena,Sevilla,0,0,1,0,0,0,0,0,1
Macarena,Emilio Cebrián,1943,280,0:04:40,Esperanza Macarena,Sevilla,0,1,0,1,0,0,0,0,2
Madre de la Victoria,Ismael Ancela Pérez,NA,283,0:04:43,Virgen de la Victoria,Sanlúcar de Barrameda,1,1,0,0,0,0,0,0,1
Madre de los Gitanos Coronada,Abel Moreno,1988,284,0:04:44,Virgen de las Angustias,Sevilla,1,1,1,0,1,0,0,0,3
Madre de los Javieres,Rubén Jordán Flores,2015,483,0:08:03,Virgen de Gracia y Amparo,Sevilla,0,0,0,1,0,0,0,0,1
Madre del Mayor Dolor,José Manuel Delgado Rodríguez,NA,286,0:04:46,Ntra Señora del Mayor dolor en su Soledad,Sevilla,0,0,0,0,0,0,1,0,1
Madre Hiniesta,Manuel Marvizón Carvallo,1997,234,0:03:54,Virgen de la Hiniesta,Sevilla,0,1,0,0,0,1,0,0,2
Madre tu Dulce Nombre,Antonio David Rodríguez Gómez,2015,332,0:05:32,Virgen del Dulce Nombre,Sevilla,0,1,0,0,0,1,0,0,2
Madrugá Macarena,Pablo Ojeda,2010,260,0:04:20,Esperanza Macarena,Sevilla,1,1,0,0,1,2,0,0,4
